file_role,path,exists,bytes,md5,status
pipeline_code,code/00-00-run-remote-pipeline.R,TRUE,4083,7097e723f1c5050d6eb647576cb84927,pass
pipeline_code,code/00-01-validate-offline-inputs.R,TRUE,8635,731014186115553cb0356acb23f470c8,pass
pipeline_code,code/00-02-check-offline-transfer-bundle.R,TRUE,4312,2491f4f5465ca0aab193b192d447c2c4,pass
pipeline_code,code/00-03-archive-output-before-rerun.R,TRUE,4452,f354ad3d173639e612d432f417b07772,pass
pipeline_code,code/01-00-load-packages.R,TRUE,576,22caab3154fd16db9c4c907ce0d5fb93,pass
pipeline_code,code/02-00-import-cross-year-survey-data.R,TRUE,2974,650ecae95bf95bcbe4b3ec59f9857174,pass
pipeline_code,code/03-00-survey-utils.R,TRUE,23686,b59fee48c77d027dbb8d01c52dc08b86,pass
pipeline_code,code/03-00-make-year-survey-meta.R,TRUE,1214,6e7163d5dc32e1ffa94b5b4f43f1576e,pass
pipeline_code,code/03-01-make-basic-info-from-02.R,TRUE,994,3ee2180a37eedf49797d378b27997c54,pass
pipeline_code,code/03-02-make-demographic-data-from-02.R,TRUE,9658,897c5c707d765463ceb49b8723681381,pass
pipeline_code,code/03-03-make-family-data-from-02.R,TRUE,13247,3d9baea02a247ce36b82753bd0e791f6,pass
pipeline_code,code/03-04-make-income-expense-data-from-02.R,TRUE,25148,8e6922b96713c499bff6db4533d37a88,pass
pipeline_code,code/03-05-build-care-station-town-year-panel.R,TRUE,3907,95deffd0061c767d46dcad0c3e14137c,pass
pipeline_code,code/04-01-aggregate-cross-year-data.R,TRUE,12746,2537f6a915f004f99215b2163e37d860,pass
pipeline_code,code/04-02-merge-care-station-exposure.R,TRUE,3860,cd5e3075077d02623fae9f9849b235df,pass
pipeline_code,code/05-01-summary-statistics.R,TRUE,17055,4224eb6a2f926fb3b164f4754f92c65d,pass
pipeline_code,code/05-02-income-expenditure-recode-summary.R,TRUE,27409,a4bb142bf097d2e0e1e76ede9c5bdabd,pass
pipeline_code,code/05-99-validate-offline-pipeline.R,TRUE,21203,ccb7f3f468e715e16716d85168223249,pass
documentation,OFFLINE_UPDATE_README_2026-08-06.md,TRUE,1768,4653ace3c9a19e849ef73c2a57da5fa1,pass
documentation,OFFLINE_UPDATE_FILE_INDEX_2026-08-06.csv,TRUE,1136,b227747e839b8e23a9f48ae2d723b541,pass
documentation,code/README_pipeline-sequence.md,TRUE,1748,7416e5ff0f02b619bc1c5b55966ee0d7,pass
documentation,code/REMOTE_BEGINNER_OPERATION_MANUAL.md,TRUE,10464,c0d46ee5e2cc3e15c9550c7c2af1d89e,pass
documentation,code/OFFLINE_TROUBLESHOOTING_GUIDE.md,TRUE,8581,abbff963949dd8c14f387f8c3c55a4bf,pass
documentation,docs/OFFLINE_CORRECTION_AND_CARE_STATION_GUIDE_2026-08-06.md,TRUE,4164,09c417d5e0908f664f836c11b16bdc62,pass
documentation,docs/OFFLINE_PACKAGE_AUDIT_2026-08-06.md,TRUE,1898,fc8d509fc2c98591d8e78dafe88669f6,pass
test,code/tests/test-questionnaire-crosswalk.py,TRUE,4338,a0a07aa3b067761c832cd568a78c8000,pass
test,code/tests/test-summary-rules.R,TRUE,10045,b3dd7c678246472b854d3a08296f8741,pass
test,code/tests/test-downstream-synthetic.R,TRUE,5085,58b7b91814720fb44813bb23bca2fd32,pass
test,code/tests/test-care-station-and-overrides.R,TRUE,1512,437953dfe92e498fcec2c1f0e55f172d,pass
generator,code/build_income_expenditure_crosswalk.py,TRUE,45600,9315a176f3785a0b368ec997a42cdce4,pass
generator,code/extract_question_options.py,TRUE,29056,746d4e61360a2c36efb951c10d50589e,pass
question_options,data/processed_data/02_metadata/question_options/question_options_91_1.csv,TRUE,34131,c1bd4fdf7b05e986cd056d2a457f68bc,pass
question_options,data/processed_data/02_metadata/question_options/question_options_91_2.csv,TRUE,37709,677c9084e78c59b130841926d0890ac0,pass
question_options,data/processed_data/02_metadata/question_options/question_options_95.csv,TRUE,78655,291e2cb84a2b376ab90b4432d82b5d8a,pass
question_options,data/processed_data/02_metadata/question_options/question_options_99.csv,TRUE,60279,e084ad5a09c97aac7b683415b2fc6a1d,pass
question_options,data/processed_data/02_metadata/question_options/question_options_103.csv,TRUE,93878,b4f2bddec3f6d9ea1fb1572f2530768c,pass
question_options,data/processed_data/02_metadata/question_options/question_options_106.csv,TRUE,119458,c087c8d3ff812a2e6fa9b4b0d285e3ee,pass
question_options,data/processed_data/02_metadata/question_options/question_options_110.csv,TRUE,128144,7d12427f91e071c8e202b79365cf5921,pass
crosswalk,data/processed_data/03_crosswalks/unified_answer_crosswalk_basic_info.csv,TRUE,115785,806ca44d24da2fbe414b0f6cdddea851,pass
crosswalk,data/processed_data/03_crosswalks/unified_answer_crosswalk_income.csv,TRUE,370029,97d9a1530851bbe8183c3940257cd303,pass
crosswalk,data/processed_data/03_crosswalks/unified_answer_crosswalk_expenditure.csv,TRUE,282716,58a10793990597aa790bba9461c7b603,pass
